Group,Total,Duplicates,DupRate,Positive,Negative,Edge,Mean,Std,NodeCov,EdgeCov
AI_BASIC,222,69,0.3108108108108108,151,57,11,24.666666666666668,0.6666666666666666,,
AI_ADV,139,54,0.38848920863309355,106,24,2,15.444444444444445,2.1140330656044943,,
MBT,160,19,0.11875,99,28,13,17.77777777777778,5.028314888437671,0.22727272727272727,0.07142857142857142
